country,life_expectancy,distance,population,count,gdp,size
CHN,75.35302439,18.8382561,1364270000,136.427,9.4906E+12,30.80682165
IND,66.4562439,16.61406098,1295291543,129.5291543,1.8618E+12,13.64478514
USA,78.84146341,19.71036585,318857056,31.8857056,1.67681E+13,40.94881317
ECS,76.77120555,19.19280139,264337881,26.4337881,2.29125E+13,47.86698272
ECA,72.39378267,18.09844567,264337881,26.4337881,1.87596E+12,13.69656294
IDN,70.81743902,17.70435976,254454778,25.4454778,9.10479E+11,9.541900907
BRA,73.88595122,18.4714878,206077898,20.6077898,2.39209E+12,15.46639745
PAK,66.58536585,16.64634146,185044286,18.5044286,2.32287E+11,4.819613896
NGA,52.49978049,13.12494512,177475986,17.7475986,5.14965E+11,7.176103751
BGD,70.69339024,17.67334756,159077513,15.9077513,1.4999E+11,3.872860067
RUS,71.07317073,17.76829268,143819569,14.3819569,2.07902E+12,14.41882375
JPN,83.33195122,20.8329878,127131800,12.71318,4.91956E+12,22.18008816
MEX,77.35402439,19.3385061,125385833,12.5385833,1.26225E+12,11.23498476
CEB,76.12758273,19.03189568,103455497,10.3455497,1.41817E+12,11.90867906
PHL,68.7144878,17.17862195,99138690,9.913869,2.72067E+11,5.216000883
EUU,80.38393396,20.09598349,96958732,9.6958732,1.79501E+13,42.36759404
ETH,63.61734146,15.90433537,96958732,9.6958732,47524728957,2.180016719
FCS,60.26087157,15.06521789,96958732,9.6958732,7.30386E+11,8.546264868
VNM,75.7564878,18.93912195,90730000,9.073,1.71222E+11,4.137898324
EMU,81.37270437,20.34317609,89579670,8.957967,1.31863E+13,36.31291999
EGY,71.13292683,17.78323171,89579670,8.957967,2.71973E+11,5.215101369
DEU,81.04390244,20.26097561,80889505,8.0889505,3.73026E+12,19.3138825
IRN,74.0687561,18.51718902,78143644,7.8143644,4.93798E+11,7.027079041
TUR,75.17595122,18.7939878,75932348,7.5932348,8.23243E+11,9.073271667
COD,49.94385366,12.48596341,74877030,7.487703,29567504655,1.719520417
THA,74.36507317,18.59126829,67725979,6.7725979,3.87253E+11,6.222962191
FRA,81.96829268,20.49207317,66206930,6.620693,2.81025E+12,16.76379795
GBR,80.95609756,20.23902439,64510376,6.4510376,2.67817E+12,16.36512599
ITA,82.2902439,20.57256098,61336387,6.1336387,2.13695E+12,14.61830447
ZAF,56.73658537,14.18414634,54001953,5.4001953,3.66058E+11,6.050272005
ZMB,58.09278049,14.52319512,54001953,5.4001953,30014905126,1.732481028
ZWE,59.7734878,14.94337195,54001953,5.4001953,30014905126,1.732481028
MNA,71.53894726,17.88473682,53437159,5.3437159,1.62111E+12,12.73228681
MMR,65.09968293,16.27492073,53437159,5.3437159,58652241646,2.421822488
TZA,61.49314634,15.37328659,51822621,5.1822621,44333456245,2.105551145
KOR,81.4597561,20.36493902,50423955,5.0423955,1.3056E+12,11.4263072
COL,73.97882927,18.49470732,47791393,4.7791393,3.80063E+11,6.164928679
ESP,82.42682927,20.60670732,46404602,4.6404602,1.39304E+12,11.8027123
UMC,74.26529453,18.56632363,45362900,4.53629,1.80803E+13,42.52095946
UKR,71.1595122,17.78987805,45362900,4.53629,1.8331E+11,4.281473419
KEN,61.68397561,15.4209939,44863583,4.4863583,54930813988,2.343732365
ARG,76.18729268,19.04682317,42980026,4.2980026,6.22058E+11,7.887065245
SDN,62.0444878,15.51112195,39350274,3.9350274,66480692535,2.578385009
EAS,74.89485776,18.72371444,38934334,3.8934334,2.08079E+13,45.61572033
EAP,73.98297129,18.49574282,38934334,3.8934334,1.16856E+13,34.18425243
DZA,71.00965854,17.75241463,38934334,3.8934334,2.10183E+11,4.584576431
POL,76.84878049,19.21219512,37995529,3.7995529,5.26064E+11,7.25302722
UGA,59.19,14.7975,37782971,3.7782971,24703249696,1.571726748
CAN,81.40112195,20.35028049,35540419,3.5540419,1.83896E+12,13.56084133
IRQ,69.47168293,17.36792073,34812326,3.4812326,2.32497E+11,4.821796722
MAR,70.87212195,17.71803049,33921203,3.3921203,1.03915E+11,3.223582234
AFG,60.93141463,15.23285366,31627506,3.1627506,20310881087,1.425162485
PER,74.81460976,18.70365244,30973148,3.0973148,2.02363E+11,4.498473051
SAU,75.70336585,18.92584146,30886545,3.0886545,7.44336E+11,8.627489399
UZB,68.22758537,17.05689634,30742500,3.07425,56795656325,2.383183928
VEN,74.64309756,18.66077439,30693827,3.0693827,3.71337E+11,6.093739694
SST,63.3712106,15.84280265,30220471,3.0220471,1.70839E+11,4.133265569
NAC,79.09764889,19.77441222,29901997,2.9901997,1.86126E+13,43.14231204
MYS,75.01626829,18.75406707,29901997,2.9901997,3.13158E+11,5.596054393
NPL,68.40385366,17.10096341,28174724,2.8174724,19244245405,1.387236296
MOZ,50.17336585,12.54334146,27216276,2.7216276,15457196860,1.243269756
GHA,61.09863415,15.27465854,26786598,2.6786598,48584737987,2.204194592
YEM,63.08958537,15.77239634,26183676,2.6183676,35954502304,1.896167247
PRK,69.80695122,17.4517378,25026772,2.5026772,0,0
AGO,51.86617073,12.96654268,24227524,2.4227524,1.24163E+11,3.523679536
MDG,64.69139024,16.17284756,23571713,2.3571713,10613473993,1.030217161
AUS,82.19756098,20.54939024,23490736,2.3490736,1.56037E+12,12.49148699
CMR,55.04180488,13.76045122,22773014,2.2773014,29567504655,1.719520417
SYR,74.71578049,18.67894512,22157800,2.21578,0,0
CIV,50.75741463,12.68935366,22157107,2.2157107,31292558602,1.768970282
OSS,59.78663902,14.94665976,20893579,2.0893579,96147048725,3.100758758
LKA,74.24029268,18.56007317,20639000,2.0639,67206129445,2.592414501
LMY,68.92775157,17.23193789,20639000,2.0639,2.39231E+13,48.91120951
LMC,66.59693766,16.64923441,20639000,2.0639,5.46283E+12,23.37269897
ROU,74.46341463,18.61585366,19910995,1.9910995,1.89639E+11,4.354757304
NER,58.44270732,14.61067683,19113728,1.9113728,7683045043,0.876529808
CHL,79.83680488,19.95920122,17762647,1.7762647,2.76674E+11,5.259978092
BFA,56.27502439,14.0687561,17589198,1.7589198,12126322793,1.101195841
KAZ,70.45,17.6125,17289111,1.7289111,2.31876E+11,4.815353384
MLI,55.0135122,13.75337805,17086022,1.7086022,11111650036,1.054118117
NLD,81.10487805,20.27621951,16854183,1.6854183,8.53539E+11,9.238719348
NOC,74.28173378,18.57043344,16854183,1.6854183,6.36982E+12,25.23851001
MWI,55.23470732,13.80867683,16695253,1.6695253,3883521175,0.623179041
GTM,71.99282927,17.99820732,16015494,1.6015494,53851153447,2.32058513
ECU,76.46507317,19.11626829,15902916,1.5902916,94472680000,3.073640838
KHM,71.74756098,17.93689024,15328136,1.5328136,15227991395,1.234017479
SEN,63.35073171,15.83768293,14672557,1.4672557,14791699009,1.21621129
TCD,51.15907317,12.78976829,13587053,1.3587053,12949853281,1.137974221
GIN,56.09165854,14.02291463,12275527,1.2275527,6231725512,0.789412789
SSF,56.84228987,14.21057247,11911184,1.1911184,1.64891E+12,12.84099273
SSD,55.24121951,13.81030488,11911184,1.1911184,11804446136,1.08648268
CUB,79.23926829,19.80981707,11379111,1.1379111,77149700000,2.777583482
SAS,66.891388,16.722847,11341544,1.1341544,2.35533E+12,15.34707304
RWA,63.99397561,15.9984939,11341544,1.1341544,7522006198,0.867295002
BEL,80.38536585,20.09634146,11225207,1.1225207,5.24779E+11,7.244162047
TUN,73.64634146,18.41158537,10996600,1.09966,46994804036,2.1678285
GRC,80.63414634,20.15853659,10957740,1.095774,2.42231E+11,4.92169414
BDI,54.09719512,13.52429878,10816860,1.081686,2714505576,0.521009172
BEN,59.28756098,14.82189024,10598482,1.0598482,8307221458,0.911439601
HTI,63.05885366,15.76471341,10572029,1.0572029,8452726177,0.919387088
